# TMS Shipment Application Data Model

The tables in the TMS Shipment application include the following:

**SHIPMENT**

Below the table lists the attributes along with the data type, constraints, and domain values.

---

```
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Table Name   | Column Name                    | Business Description                                                        | Data Type      | Constraints           | Domain Values
             | HAZMAT_CERT_DECLARATION        | Hazmat certification declaration statement                                  | VARCHAR(500)   | Nullable              | N/A
             | HIBERNATE_VERSION              | Hibernate ORM version number for the record                                 | INT            | Nullable              | N/A
             | HUB_ID                         | Identifier for the hub facility associated with the shipment                | VARCHAR(50)    | Nullable              | N/A
             | INBOUND_REGION_ID              | Region identifier for the inbound leg of the shipment                      | VARCHAR(50)    | Nullable              | N/A
             | INCOTERM_ID                    | Incoterm governing the terms of trade for the shipment                      | VARCHAR(50)    | Nullable              | N/A
             | INSURANCE_STATUS               | Status of insurance coverage for the shipment                               | VARCHAR(50)    | Nullable              | N/A
             | IS_ASSOCIATED_TO_OUTBOUND      | Flag indicating whether the shipment is linked to an outbound shipment      | VARCHAR(1)     | Nullable              | Y, N
             | IS_AUTO_DELIVERED              | Flag indicating the shipment was automatically marked as delivered           | VARCHAR(1)     | Nullable              | Y, N
             | IS_BOOKING_REQUIRED            | Flag indicating whether a booking is required for the shipment              | VARCHAR(1)     | Nullable              | Y, N
             | IS_CM_OPTION_GEN_ACTIVE        | Flag indicating carrier management option generation is active              | VARCHAR(1)     | Nullable              | Y, N
             | IS_COOLER_AT_NOSE              | Flag indicating cooler unit is required at the nose of the trailer          | VARCHAR(1)     | Nullable              | Y, N
             | IS_FILO                        | Flag indicating first-in last-out loading sequence                          | VARCHAR(1)     | Nullable              | Y, N
             | IS_GRS_OPT_CYCLE_RUNNING       | Flag indicating a global routing session optimization cycle is running      | VARCHAR(1)     | Nullable              | Y, N
             | IS_HAZMAT                      | Flag indicating the shipment contains hazardous materials                   | VARCHAR(1)     | Nullable              | Y, N
             | IS_MANUAL_ASSIGN               | Flag indicating the carrier was manually assigned                           | VARCHAR(1)     | Nullable              | Y, N
             | IS_MISROUTED                   | Flag indicating the shipment was identified as misrouted                    | VARCHAR(1)     | Nullable              | Y, N
             | IS_PERISHABLE                  | Flag indicating the shipment contains perishable goods                      | VARCHAR(1)     | Nullable              | Y, N
             | IS_SHIPMENT_CANCELLED          | Flag indicating the shipment has been cancelled                             | VARCHAR(1)     | Nullable              | Y, N
             | IS_SHIPMENT_RECONCILED         | Flag indicating the shipment has been financially reconciled                | VARCHAR(1)     | Nullable              | Y, N
             | IS_TIME_FEAS_ENABLED           | Flag indicating time feasibility checks are enabled                         | VARCHAR(1)     | Nullable              | Y, N
             | IS_WAVE_MAN_CHANGED            | Flag indicating the wave management assignment was manually changed         | VARCHAR(1)     | Nullable              | Y, N
             | LANE_NAME                      | Name of the lane assigned to the shipment                                   | VARCHAR(200)   | Nullable              | N/A
             | LAST_CM_OPTION_GEN_DTTM        | Date and time of the last carrier management option generation              | DATETIME       | Nullable              | N/A
             | LAST_RS_NOTIFICATION_DTTM      | Date and time of the last routing session notification                      | DATETIME       | Nullable              | N/A
             | LAST_RUN_GRS_DTTM              | Date and time of the last global routing session run                        | DATETIME       | Nullable              | N/A
             | LAST_SELECTOR_RUN_DTTM         | Date and time of the last carrier selector run                              | DATETIME       | Nullable              | N/A
             | LAST_UPDATED_DTTM              | Date and time when the shipment record was last updated                     | DATETIME       | Nullable              | N/A
             | LAST_UPDATED_SOURCE            | System or process that last updated the shipment record                     | VARCHAR(100)   | Nullable              | N/A
             | LAST_UPDATED_SOURCE_TYPE       | Role type of the user or system that last updated the shipment              | VARCHAR(100)   | Nullable              | N/A
             | LEFT_WT                        | Weight on the left side of the load for balance calculation                 | DECIMAL(10,3)  | Nullable              | N/A
             | LH_PAYEE_CARRIER_CODE          | Code for the carrier that is the payee for linehaul charges                 | VARCHAR(50)    | Nullable              | N/A
             | LH_PAYEE_CARRIER_ID            | Identifier for the carrier that is the payee for linehaul charges           | VARCHAR(50)    | Nullable              | N/A
             | LINEHAUL_COST                  | Total linehaul freight cost for the shipment                                | DECIMAL(10,2)  | Nullable              | N/A
             | LOADING_SEQ_ORD                | Loading sequence order for the shipment on the vehicle                      | INT            | Nullable              | N/A
             | LOC_REFERENCE                  | Location reference identifier associated with the shipment                  | VARCHAR(100)   | Nullable              | N/A
             | LPN_ASSIGNMENT_STOPPED         | Flag indicating LPN assignment processing has been stopped                  | VARCHAR(1)     | Nullable              | Y, N
             | MANIFEST_ID                    | Identifier for the manifest this shipment belongs to                        | VARCHAR(50)    | Nullable              | N/A
             | MARGIN                         | Margin amount calculated for the shipment                                   | DECIMAL(10,2)  | Nullable              | N/A
             | MAX_NBR_OF_CTNS                | Maximum number of cartons allowed on the shipment                           | INT            | Nullable              | N/A
             | MERCHANDIZING_DEPARTMENT_ID    | Merchandising department identifier linked to the shipment                  | VARCHAR(50)    | Nullable              | N/A
             | MIN_RATE                       | Minimum rate applicable to the shipment                                     | DECIMAL(10,2)  | Nullable              | N/A
             | MONETARY_VALUE                 | Total monetary value of the shipment contents                               | DECIMAL(10,2)  | Nullable              | N/A
             | MOVE_TYPE                      | Type of movement for the shipment (e.g., inbound, outbound, transfer)       | VARCHAR(50)    | Nullable              | N/A
             | MV_CURRENCY_CODE               | Currency code for the monetary value of the shipment                        | VARCHAR(10)    | Nullable              | N/A
             | NORM_SPOT_CHARGE_AND_PAYEE_ACC | Normalized total of spot charge and payee accessorial amounts               | DECIMAL(10,2)  | Nullable              | N/A
             | NORMALIZED_BASELINE_COST       | Normalized baseline cost for cross-currency comparison                      | DECIMAL(10,2)  | Nullable              | N/A
             | NORMALIZED_MARGIN              | Normalized margin for cross-currency comparison (not used)                  | DECIMAL(10,2)  | Nullable              | N/A
             | NORMALIZED_TOTAL_COST          | Normalized total shipment cost for cross-currency comparison (not used)     | DECIMAL(10,2)  | Nullable              | N/A
             | NORMALIZED_TOTAL_REVENUE       | Normalized total revenue for cross-currency comparison                      | DECIMAL(10,2)  | Nullable              | N/A
             | NUM_CHARGE_LAYOVERS            | Number of charge-incurring layovers on the shipment route                   | INT            | Nullable              | N/A
             | NUM_DOCKS                      | Number of dock doors used for the shipment (source field not yet identified)| INT            | Nullable              | N/A
             | NUM_STOPS                      | Total number of stops on the shipment route                                 | INT            | Nullable              | N/A
             | O_ADDRESS                      | Street address of the origin facility                                       | VARCHAR(300)   | Nullable              | N/A
             | O_CITY                         | City of the origin facility                                                 | VARCHAR(100)   | Nullable              | N/A
             | O_COUNTRY_CODE                 | Country code of the origin facility                                         | VARCHAR(10)    | Nullable              | N/A
             | O_COUNTY                       | County of the origin facility                                               | VARCHAR(100)   | Nullable              | N/A
             | O_FACILITY_ID                  | Unique identifier for the origin facility (first stop)                      | VARCHAR(50)    | Nullable              | N/A
             | O_FACILITY_NUMBER              | Facility number of the origin (first stop)                                  | VARCHAR(50)    | Nullable              | N/A
             | O_POSTAL_CODE                  | Postal code of the origin facility                                          | VARCHAR(20)    | Nullable              | N/A
             | O_STATE_PROV                   | State or province of the origin facility                                    | VARCHAR(50)    | Nullable              | N/A
             | O_STOP_LOCATION_NAME           | Name of the origin stop location                                            | VARCHAR(200)   | Nullable              | N/A
             | O_TANDEM_FACILITY              | Tandem facility identifier at the origin                                    | VARCHAR(50)    | Nullable              | N/A
             | O_TANDEM_FACILITY_ALIAS        | Alias for the tandem facility at the origin                                 | VARCHAR(50)    | Nullable              | N/A
             | OCEAN_ROUTING_STAGE            | Stage in the ocean routing process for this shipment                        | VARCHAR(50)    | Nullable              | N/A
             | ON_TIME_INDICATOR              | Indicates whether the shipment was delivered on time                        | VARCHAR(20)    | Nullable              | ON_TIME, LATE, EARLY
             | ORDER_QTY                      | Order quantity associated with the shipment                                 | DECIMAL(10,3)  | Nullable              | N/A
             | ORIG_BUDG_TOTAL_COST           | Original budgeted total cost before any revisions                           | DECIMAL(10,2)  | Nullable              | N/A
             | OUT_OF_ROUTE_DISTANCE          | Distance travelled beyond the direct route                                  | DECIMAL(10,2)  | Nullable              | N/A
             | OUTBOUND_REGION_ID             | Region identifier for the outbound leg of the shipment                     | VARCHAR(50)    | Nullable              | N/A
             | PACKAGING                      | Packaging type or description for the shipment                              | VARCHAR(100)   | Nullable              | N/A
             | PAPERWORK_START_DTTM           | Date and time when shipment paperwork processing began                      | DATETIME       | Nullable              | N/A
             | PAYEE_CARRIER_ID               | Identifier for the carrier that will receive payment                        | VARCHAR(50)    | Nullable              | N/A
             | PICK_START_DATE                | Date when picking of the shipment began                                     | DATETIME       | Nullable              | N/A
             | PICKUP_END_DTTM                | Planned pickup window end date and time                                     | DATETIME       | Nullable              | N/A
             | PICKUP_START_DATE              | Planned pickup window start date and time                                   | DATETIME       | Nullable              | N/A
             | PICKUP_TZ                      | Timezone for the pickup window                                              | VARCHAR(50)    | Nullable              | N/A
             | PLANNED_VOLUME                 | Planned volume of the shipment                                              | DECIMAL(10,3)  | Nullable              | N/A
             | PLANNED_WEIGHT                 | Planned weight of the shipment                                              | DECIMAL(10,3)  | Nullable              | N/A
             | PLN_ACCESSORL_COST_TO_CARRIER  | Planned accessorial cost to be passed to the carrier                        | DECIMAL(10,2)  | Nullable              | N/A
